Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50,83.5
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,750,2002.5
2011,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Australia,Hybrid lead-acid battery/electro-chemical capacitor,1000,500
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,100,82
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,1680
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,97
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,2000
2011,Electro-chemical capacitor,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1870,0
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,China,Unknown Technology Sub-Type ,50,100
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,32000,8000
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,1000,250
